,Flowering.time.at.Arkansas,Flag.leaf.length,Flag.leaf.width,Awn.presence,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Panicle.fertility,Seed.length,Seed.width,Seed.length.width.ratio,Blast.resistance,Amylose.content,Alkali.spreading.value,Protein.content
NSFTV139@bd0d322b.0,89.6,33.06,1.19,0,2.602689685,107.1,28.79,14.5,5.521860838,5.730424406,0.812,9.04751,2.33926,3.868,9,21.58,4.833333334,8.2
NSFTV140@85551f9c.0,82.45454545,30.15454545,1.372727273,0,3.113515309,99.81818182,22.92,10.3,4.841822087,5.245443877,0.668,8.251154545,3.134427273,2.632,6,12.63333333,6.541666667,8.95
NSFTV141@a8319fc6.0,100.5,39.15,1.066666667,NA,3.592735594,129.3333333,26.28333333,12.83333333,4.727387819,5.403427851,0.509,8.075283333,2.432666667,3.32,1,23.28,6.916666667,NA
NSFTV142@806c51cc.0,111.8888889,36.96666667,1.088888889,1,3.884994333,194.3333333,29.71111111,10.66666667,4.906919516,5.073088309,0.847,8.161122222,2.8885,2.825,1,25.235,7,8.8
NSFTV143@3ea144c5.0,96.33333333,37.69,1.04,0,3.352407217,97.5,24.78,10,5.085742767,5.184588601,0.906,7.375,3.2199,2.29,6,18.32333333,7,7.75
NSFTV144@3269952e.0,NA,21.43333333,0.766666667,0,NA,75,17.2,5.666666667,3.843030134,3.938340314,0.909,7.4059,3.2906,2.251,7,18.05,7,7.4
NSFTV145@17c4070a.0,97,27.72,1.04,0,3.691999581,157.1,23.9625,11.5,4.50313746,5.02322241,0.594,8.73453,2.84297,3.072,1,22.68,7,10.55
NSFTV147@48b4f132.0,106.8,31.95,1.44375,0,2.75860248,105.9166667,22.66666667,12.77777778,5.575949103,5.708585735,0.876,7.851966667,2.399108333,3.273,3,22.47,6.625,7.5
NSFTV149@d56e98bc.0,104,36.8,1.558333333,0,2.920769235,140.6666667,31.21111111,13.22222222,5.371154691,5.483874424,0.893,9.352316667,2.8225,3.313,6,22.97,6,8
NSFTV150@128dd425.0,83.7,34.27,1.41,0,3.010620886,107.9,25.28,9.9,4.71939133,5.365976015,0.524,8.272422222,3.139988889,2.635,7,15.03,6.541666667,8.4
NSFTV151@dee26171.0,90.4,30.68,1.06,0,3.328228362,81.1,22.92857143,9.285714286,4.856706812,5.019925341,0.849,7.4139,3.42003,2.168,1,15.84,6.361111111,8.35
NSFTV152@e4533c8b.0,83.16666667,31.9,1.241666667,1,3.463128339,153.6666667,27.45833333,8.166666667,4.941047007,5.044499808,0.902,9.394816667,2.195816667,4.279,4,26.11,5.625,9.1
NSFTV153@40f343f4.0,84.25,31.54166667,1.191666667,1,3.212186837,143.8333333,28.23333333,7.583333333,4.774912961,4.885323992,0.895,9.496883333,2.571383333,3.693,3,27.6,6,8.1
NSFTV154@dfdfb828.0,76.91666667,24.93333333,0.983333333,1,3.016351561,113.3333333,19.525,10.5,4.591747166,4.790957951,0.819,8.568158333,3.483383333,2.46,8,18.215,5,10.05
NSFTV155@9127f236.0,82.5,24.175,0.816666667,1,3.48635519,116.8333333,22.0625,9,4.564348191,4.662581093,0.906,7.519358333,3.464683333,2.17,7,18.52666667,4.611111111,10.45
NSFTV156@93387d96.0,93.83333333,33.29166667,1.308333333,0,3.79173684,98.08333333,26.3,12.41666667,4.984747523,5.14409724,0.853,7.389308333,3.115875,2.372,1,24.23,7,8.1
NSFTV157@2db62b89.0,88,34.24444444,1.122222222,0,3.266607228,98.22222222,23.67142857,10.85714286,4.951907021,5.157137753,0.814,7.3989,3.362911111,2.2,2,18.90666667,7,8
NSFTV158@6516a500.0,90,41.4,1.066666667,0,3.184974273,102.1666667,25.41666667,9.166666667,4.805386233,5.107963638,0.739,6.951116667,3.47045,2.003,6,20.11,7,8.05
NSFTV160@f659d521.0,82.83333333,26.28888889,1.022222222,1,3.392829132,134,29.28888889,8.444444444,4.698964065,4.80811103,0.897,8.377483333,3.052558333,2.744,3,18.35,5.194444445,9.35
NSFTV161@4f643bf5.0,97.25,30.78333333,1.316666667,0,3.501545355,96.11111111,24.26,12,5.562816104,5.797407734,0.791,7.683009091,3.016663636,2.547,1,23.56,5.875,7.7
NSFTV162@2b28e441.0,111,49.44444444,0.655555556,0,3.763136225,129.1111111,27.8,10.33333333,4.622295436,5.031031922,0.664,8.092125,2.514041667,3.219,8,24.88333333,7,7.6
NSFTV163@192e24ab.0,102.75,28.92222222,0.966666667,0,4.099884743,143.9166667,27.1,10.77777778,5.065754593,5.232444622,0.846,7.761075,2.610125,2.973,1,26.71666667,6.833333334,7.4
NSFTV164@72497775.0,104.8333333,29.87777778,1.755555556,1,2.737249356,110.8333333,25.03333333,13.16666667,5.367532436,5.479712568,0.894,8.875233333,3.254144444,2.727,7,20.5,6.759259259,7.2
NSFTV165@9b2223bb.0,85,25.29166667,1.366666667,1,2.538973871,134.6666667,25.95,10.33333333,5.173792908,5.634789603,0.631,7.701481818,3.309981818,2.327,8,19.18,5.375,8.8
NSFTV166@61152244.0,104.0833333,36.77916667,1.066666667,0,3.55296427,161,30.60909091,9.090909091,4.952620899,5.257968745,0.737,8.77615,2.868683333,3.059,9,27.48666667,6.166666667,8.6
NSFTV167@8e941960.0,88.08333333,30.375,1.341666667,0,3.028522096,90.33333333,26.81666667,11.25,4.603502129,5.215841145,0.542,9.16464,2.53908,3.609,6,22.11,6.125,8.9
NSFTV169@ba028784.0,85.75,35.27142857,0.957142857,0,3.228826156,143.8571429,29.34285714,8.714285714,3.853182505,4.69918082,0.429,10.567725,3.48775,3.03,6,0,6.708333334,9.7
NSFTV170@715bc18e.0,86,28.68333333,1.266666667,0,2.926739402,91,23.6,10.5,4.917544871,5.180846782,0.769,9.466366667,2.540116667,3.727,3,21.94333333,5,8.9
NSFTV171@b238d197.0,70.66666667,22.09166667,1.175,0,3.757316616,87.16666667,22.09166667,9.333333333,5.008410599,5.157617484,0.861,8.880391667,2.987925,2.972,1,25.28666667,3.444444445,7.8
NSFTV172@9ac72c9e.0,73.5,23.83333333,1.188888889,0,3.52144651,86,22.65,9.875,4.716060837,4.837003148,0.886,7.877366667,3.258775,2.417,1,22.53,5.791666667,10.5
NSFTV173@0f847952.0,90.33333333,32.76666667,1.033333333,0,2.85263143,88.11111111,23.18333333,9.833333333,4.624972813,4.758504206,0.875,7.714477778,3.313355556,2.328,3,18.17,6.416666667,7.6
NSFTV174@08de34ee.0,101.0833333,39.53333333,1.544444444,0,2.47793798,151.6666667,31.24285714,14.42857143,5.088477781,5.277385531,0.828,9.854327273,2.849645455,3.458,2,22.84,6.25,9
NSFTV176@8cfa8fb2.0,98.85714286,36.75833333,1.891666667,0,2.668384945,131.6666667,26.29166667,14.5,5.152327739,5.318936654,0.847,9.099141667,3.6986,2.46,6,22.505,6.458333334,9.8
NSFTV177@15e6c437.0,76,24.28888889,1.166666667,0,3.595026545,90,20.36666667,10.5,4.894441903,5.02148531,0.881,7.960258333,3.238133333,2.458,8,13.39,6.625,7.6
NSFTV178@480f7505.0,88,41.88333333,1.541666667,0,3.215536924,159.75,30.1,9.818181818,5.318565527,5.484796933,0.847,6.7898,2.764791667,2.456,6,27.28666667,5.916666667,8.05
